Transaction_ID,Date,Store_ID,Region,Product_ID,Product_Name,Category,Quantity_Sold,Cost_Price,Selling_Price,Discount,Revenue,Profit,Current_Stock,Reorder_Level,Customer_Type,Payment_Method
T000032,2025-08-23,Store-A,North,P005,Eggs,Dairy,10,90,115.85,0.0,1158.5,258.5,9,30,Wholesale,Cash
T000033,2025-02-05,Store-B,East,P017,Salt,Grocery,9,20,23.79,2.38,192.69,12.69,456,30,New,Cash
T000034,2025-10-11,Store-C,North,P015,Coffee,Beverages,18,220,299.43,0.0,5389.74,1429.74,346,30,Regular,UPI
T000035,2025-05-25,Store-B,East,P004,Sugar,Grocery,4,45,61.77,3.09,234.72,54.72,144,30,Regular,Card
T000036,2025-11-21,Store-D,East,P009,Soap,Personal Care,17,30,38.9,0.0,661.3,151.3,52,30,Regular,Cash
T000037,2025-08-15,Store-D,North,P011,Toothpaste,Personal Care,5,95,127.41,12.74,573.35,98.35,87,30,Regular,Cash
T000038,2025-10-10,Store-B,West,P005,Eggs,Dairy,18,90,104.47,10.45,1692.36,72.36,303,30,Regular,Cash
T000039,2025-07-03,Store-B,South,P010,Shampoo,Personal Care,12,180,255.55,0.0,3066.6,906.6,465,30,Wholesale,Cash
T000040,2025-03-21,Store-B,South,P012,Juice,Beverages,18,80,113.22,16.98,1732.32,292.32,322,30,Regular,UPI
T000041,2025-07-30,Store-B,East,P001,Milk,Dairy,6,60,82.26,8.23,444.18,84.18,405,30,Regular,Card
T000042,2025-04-13,Store-D,East,P004,Sugar,Grocery,13,45,63.52,9.53,701.87,116.87,118,30,New,Cash
T000043,2025-05-23,Store-A,East,P008,Biscuits,Snacks,1,35,47.18,7.08,40.1,5.1,173,30,New,Card
T000044,2025-01-15,Store-A,East,P017,Salt,Grocery,13,20,27.08,2.71,316.81,56.81,485,30,Regular,Card
T000045,2025-06-10,Store-D,North,P009,Soap,Personal Care,2,30,35.48,5.32,60.32,0.32,181,30,New,Card
T000046,2025-09-24,Store-B,East,P007,Chips,Snacks,9,25,29.08,4.36,222.48,-2.52,5,30,New,Cash
T000047,2025-06-03,Store-C,West,P011,Toothpaste,Personal Care,20,95,118.2,0.0,2364.0,464.0,373,30,New,UPI
T000048,2025-07-14,Store-B,East,P010,Shampoo,Personal Care,18,180,213.87,32.08,3272.22,32.22,345,30,New,Card
T000049,2025-10-24,Store-C,West,P001,Milk,Dairy,10,60,74.16,11.12,630.4,30.4,407,30,New,UPI
T000050,2025-02-13,Store-C,East,P007,Chips,Snacks,17,25,32.3,1.61,521.73,96.73,342,30,Regular,Cash
T000051,2025-01-24,Store-B,West,P010,Shampoo,Personal Care,8,180,250.55,12.53,1904.16,464.16,17,30,Wholesale,Cash
T000052,2025-12-23,Store-D,West,P015,Coffee,Beverages,14,220,311.49,15.57,4142.88,1062.88,372,30,New,Cash
T000053,2025-08-06,Store-B,South,P005,Eggs,Dairy,1,90,127.6,0.0,127.6,37.6,403,30,Wholesale,Card
T000054,2025-03-10,Store-D,East,P015,Coffee,Beverages,2,220,289.79,0.0,579.58,139.58,238,30,New,Card
T000055,2025-03-23,Store-D,West,P017,Salt,Grocery,14,20,27.98,4.2,332.92,52.92,464,30,New,Cash
T000056,2025-08-14,Store-A,East,P009,Soap,Personal Care,17,30,38.86,1.94,627.64,117.64,145,30,Regular,UPI
T000057,2025-03-19,Store-B,West,P011,Toothpaste,Personal Care,11,95,134.7,0.0,1481.7,436.7,75,30,Wholesale,Cash
T000058,2025-08-27,Store-D,North,P007,Chips,Snacks,3,25,31.86,3.19,86.01,11.01,282,30,Regular,UPI
T000059,2025-10-22,Store-D,West,P013,Soft Drink,Beverages,19,50,71.69,0.0,1362.11,412.11,443,30,Regular,UPI
T000060,2025-10-07,Store-B,West,P010,Shampoo,Personal Care,13,180,253.09,37.96,2796.69,456.69,280,30,Regular,UPI
T000061,2025-12-14,Store-D,South,P014,Tea,Beverages,16,140,162.22,16.22,2336.0,96.0,347,30,New,Cash
T000062,2025-10-16,Store-A,North,P020,Notebook,Stationery,18,60,69.49,10.42,1063.26,-16.74,308,30,Wholesale,UPI
T000063,2025-06-17,Store-B,West,P005,Eggs,Dairy,15,90,108.41,10.84,1463.55,113.55,199,30,New,UPI
T000064,2025-02-11,Store-D,North,P013,Soft Drink,Beverages,9,50,68.78,10.32,526.14,76.14,134,30,Wholesale,Card
T000065,2025-11-30,Store-A,North,P002,Bread,Bakery,12,40,48.69,0.0,584.28,104.28,404,30,Regular,Cash
T000066,2025-12-09,Store-A,South,P001,Milk,Dairy,20,60,71.74,3.59,1363.0,163.0,247,30,New,Card
T000067,2025-03-25,Store-C,North,P009,Soap,Personal Care,12,30,36.01,0.0,432.12,72.12,403,30,Wholesale,Cash
T000068,2025-04-12,Store-A,South,P010,Shampoo,Personal Care,19,180,243.58,36.54,3933.76,513.76,208,30,Regular,Card
T000069,2025-09-30,Store-D,East,P010,Shampoo,Personal Care,20,180,250.5,0.0,5010.0,1410.0,182,30,Regular,Card
T000070,2025-08-10,Store-C,West,P011,Toothpaste,Personal Care,1,95,133.46,20.02,113.44,18.44,59,30,Wholesale,Cash
T000071,2025-10-03,Store-D,West,P014,Tea,Beverages,6,140,191.82,19.18,1035.84,195.84,320,30,New,Card
T000072,2025-02-14,Store-C,West,P019,Tissue,Home Care,9,75,93.5,4.67,799.47,124.47,430,30,Regular,UPI
T000073,2025-09-11,Store-C,South,P019,Tissue,Home Care,20,75,101.28,10.13,1823.0,323.0,19,30,New,Cash
T000074,2025-01-06,Store-B,North,P012,Juice,Beverages,9,80,100.17,10.02,811.35,91.35,289,30,Regular,Card
T000075,2025-09-01,Store-D,West,P014,Tea,Beverages,16,140,184.32,9.22,2801.6,561.6,358,30,Regular,Cash
T000076,2025-12-06,Store-C,West,P010,Shampoo,Personal Care,8,180,228.84,11.44,1739.2,299.2,161,30,Wholesale,Card
T000077,2025-12-26,Store-D,East,P012,Juice,Beverages,14,80,115.92,11.59,1460.62,340.62,185,30,New,UPI
T000078,2025-10-02,Store-B,South,P008,Biscuits,Snacks,4,35,47.82,4.78,172.16,32.16,66,30,Regular,Card
T000079,2025-04-10,Store-C,South,P016,Cooking Oil,Grocery,9,180,246.13,24.61,1993.68,373.68,56,30,New,Cash
T000080,2025-01-24,Store-A,East,P010,Shampoo,Personal Care,1,180,245.23,12.26,232.97,52.97,145,30,Wholesale,Cash
T000081,2025-09-03,Store-D,East,P016,Cooking Oil,Grocery,4,180,254.13,25.41,914.88,194.88,245,30,Regular,Cash
T000082,2025-09-09,Store-A,North,P009,Soap,Personal Care,16,30,35.53,0.0,568.48,88.48,210,30,Regular,Cash
T000083,2025-10-13,Store-D,South,P019,Tissue,Home Care,10,75,88.17,4.41,837.6,87.6,65,30,Wholesale,UPI
T000084,2025-10-19,Store-A,North,P015,Coffee,Beverages,15,220,272.63,40.89,3476.1,176.1,161,30,Regular,Card
T000085,2025-03-30,Store-A,South,P007,Chips,Snacks,9,25,33.7,1.69,288.09,63.09,127,30,Regular,UPI
T000086,2025-05-28,Store-C,West,P015,Coffee,Beverages,20,220,284.01,0.0,5680.2,1280.2,123,30,Regular,Card
T000087,2025-02-28,Store-B,South,P008,Biscuits,Snacks,9,35,48.52,2.43,414.81,99.81,222,30,New,Cash
T000088,2025-10-19,Store-C,West,P003,Rice,Grocery,2,70,83.98,8.4,151.16,11.16,309,30,Regular,UPI
T000089,2025-02-11,Store-A,West,P010,Shampoo,Personal Care,13,180,257.9,38.68,2849.86,509.86,229,30,Wholesale,UPI
T000090,2025-12-12,Store-A,East,P020,Notebook,Stationery,9,60,69.47,3.47,594.0,54.0,497,30,Wholesale,Cash
T000091,2025-05-23,Store-B,West,P006,Butter,Dairy,16,55,71.81,10.77,976.64,96.64,474,30,Wholesale,UPI
T000092,2025-12-10,Store-A,South,P003,Rice,Grocery,16,70,87.81,8.78,1264.48,144.48,169,30,New,UPI
T000093,2025-10-09,Store-A,West,P016,Cooking Oil,Grocery,10,180,242.78,36.42,2063.6,263.6,421,30,Regular,UPI
T000094,2025-09-21,Store-A,West,P009,Soap,Personal Care,11,30,35.54,5.33,332.31,2.31,447,30,New,Cash
T000095,2025-08-15,Store-A,South,P007,Chips,Snacks,17,25,31.46,4.72,454.58,29.58,325,30,New,Card
T000096,2025-01-15,Store-B,South,P005,Eggs,Dairy,10,90,115.33,17.3,980.3,80.3,67,30,New,Card
T000097,2025-02-28,Store-D,North,P001,Milk,Dairy,18,60,76.34,3.82,1305.36,225.36,435,30,Wholesale,Cash
T000098,2025-09-05,Store-D,South,P016,Cooking Oil,Grocery,10,180,234.48,23.45,2110.3,310.3,217,30,New,Card
T000099,2025-02-05,Store-C,West,P005,Eggs,Dairy,13,90,108.65,5.43,1341.86,171.86,447,30,New,Card
T000100,2025-10-28,Store-D,South,P009,Soap,Personal Care,1,30,37.05,3.71,33.34,3.34,433,30,New,Card
T000101,2025-06-14,Store-B,South,P016,Cooking Oil,Grocery,12,180,224.95,33.74,2294.52,134.52,238,30,Wholesale,UPI
T000102,2025-07-15,Store-D,South,P008,Biscuits,Snacks,14,35,40.71,6.11,484.4,-5.6,366,30,New,Cash
T000103,2025-02-21,Store-D,North,P005,Eggs,Dairy,17,90,129.56,12.96,1982.2,452.2,450,30,Wholesale,UPI
T000104,2025-08-29,Store-C,East,P001,Milk,Dairy,5,60,76.38,3.82,362.8,62.8,43,30,Wholesale,Card
T000105,2025-06-12,Store-D,North,P013,Soft Drink,Beverages,3,50,70.28,10.54,179.22,29.22,493,30,Wholesale,Cash
T000106,2025-02-20,Store-A,West,P008,Biscuits,Snacks,10,35,50.72,0.0,507.2,157.2,227,30,Regular,Card
T000107,2025-07-03,Store-C,West,P010,Shampoo,Personal Care,1,180,209.48,0.0,209.48,29.48,155,30,Regular,Cash
T000108,2025-03-31,Store-A,West,P017,Salt,Grocery,14,20,26.4,1.32,351.12,71.12,92,30,Wholesale,Card
T000109,2025-08-25,Store-C,West,P008,Biscuits,Snacks,16,35,49.83,2.49,757.44,197.44,123,30,New,Card
T000110,2025-08-15,Store-C,East,P001,Milk,Dairy,15,60,85.22,4.26,1214.4,314.4,42,30,Wholesale,UPI
T000111,2025-09-05,Store-A,South,P009,Soap,Personal Care,15,30,42.11,2.11,600.0,150.0,201,30,New,Card
T000112,2025-12-04,Store-D,East,P012,Juice,Beverages,19,80,99.1,9.91,1694.61,174.61,16,30,Regular,Card
T000113,2025-04-28,Store-C,South,P002,Bread,Bakery,20,40,54.94,5.49,989.0,189.0,402,30,Wholesale,Cash
T000114,2025-02-19,Store-A,East,P020,Notebook,Stationery,9,60,81.2,4.06,694.26,154.26,326,30,New,Cash
T000115,2025-06-01,Store-C,West,P019,Tissue,Home Care,12,75,102.73,0.0,1232.76,332.76,470,30,Regular,Cash
T000116,2025-09-14,Store-C,South,P005,Eggs,Dairy,18,90,127.16,12.72,2059.92,439.92,276,30,New,UPI
T000117,2025-02-08,Store-B,South,P010,Shampoo,Personal Care,11,180,250.43,37.56,2341.57,361.57,498,30,Wholesale,Card
T000118,2025-05-16,Store-A,West,P013,Soft Drink,Beverages,18,50,62.99,9.45,963.72,63.72,12,30,New,Card
T000119,2025-12-12,Store-B,West,P009,Soap,Personal Care,19,30,37.93,3.79,648.66,78.66,60,30,Regular,Card
T000120,2025-02-02,Store-D,East,P018,Detergent,Home Care,11,260,370.39,18.52,3870.57,1010.57,336,30,Wholesale,UPI
T000121,2025-09-10,Store-A,North,P004,Sugar,Grocery,5,45,52.36,0.0,261.8,36.8,160,30,Regular,Card
T000122,2025-03-21,Store-D,North,P005,Eggs,Dairy,13,90,115.75,17.36,1279.07,109.07,305,30,New,Card
T000123,2025-08-16,Store-D,South,P014,Tea,Beverages,9,140,162.37,16.24,1315.17,55.17,116,30,New,Cash
T000124,2025-07-23,Store-C,South,P012,Juice,Beverages,18,80,113.64,11.36,1841.04,401.04,36,30,Regular,UPI
T000125,2025-06-20,Store-B,South,P003,Rice,Grocery,7,70,93.98,0.0,657.86,167.86,30,30,Wholesale,Cash
T000126,2025-04-30,Store-C,South,P003,Rice,Grocery,18,70,84.85,4.24,1450.98,190.98,421,30,Wholesale,Cash
T000127,2025-03-31,Store-A,North,P009,Soap,Personal Care,5,30,43.39,4.34,195.25,45.25,413,30,Regular,Cash
T000128,2025-05-16,Store-A,South,P012,Juice,Beverages,8,80,106.13,0.0,849.04,209.04,94,30,Wholesale,UPI
T000129,2025-07-05,Store-A,West,P017,Salt,Grocery,4,20,27.47,4.12,93.4,13.4,234,30,Wholesale,Cash
T000130,2025-11-26,Store-A,North,P020,Notebook,Stationery,2,60,82.09,8.21,147.76,27.76,239,30,New,UPI
T000131,2025-02-11,Store-C,South,P014,Tea,Beverages,4,140,181.59,27.24,617.4,57.4,42,30,Regular,Cash
T000132,2025-11-02,Store-C,West,P009,Soap,Personal Care,20,30,40.2,4.02,723.6,123.6,200,30,Wholesale,Card
T000133,2025-12-02,Store-B,West,P014,Tea,Beverages,4,140,194.31,0.0,777.24,217.24,441,30,New,Cash
T000134,2025-02-18,Store-C,West,P014,Tea,Beverages,11,140,195.75,29.36,1830.29,290.29,217,30,New,Card
T000135,2025-02-16,Store-A,North,P009,Soap,Personal Care,12,30,43.08,6.46,439.44,79.44,39,30,New,Cash
T000136,2025-03-04,Store-D,East,P012,Juice,Beverages,5,80,105.35,10.54,474.05,74.05,348,30,Wholesale,UPI
T000137,2025-10-23,Store-B,South,P002,Bread,Bakery,10,40,53.2,5.32,478.8,78.8,58,30,Wholesale,UPI
T000138,2025-05-23,Store-B,West,P008,Biscuits,Snacks,4,35,43.93,4.39,158.16,18.16,63,30,Wholesale,Card
T000139,2025-04-03,Store-C,East,P020,Notebook,Stationery,18,60,69.47,6.95,1125.36,45.36,19,30,New,UPI
T000140,2025-03-14,Store-A,North,P001,Milk,Dairy,6,60,84.66,12.7,431.76,71.76,40,30,Wholesale,Card
T000141,2025-07-09,Store-C,East,P007,Chips,Snacks,13,25,31.9,3.19,373.23,48.23,85,30,Wholesale,Card
T000142,2025-02-11,Store-C,West,P003,Rice,Grocery,2,70,83.77,0.0,167.54,27.54,350,30,Wholesale,UPI
T000143,2025-09-20,Store-A,East,P016,Cooking Oil,Grocery,20,180,230.87,23.09,4155.6,555.6,115,30,New,Cash
T000144,2025-04-23,Store-D,North,P010,Shampoo,Personal Care,19,180,233.28,23.33,3989.05,569.05,28,30,Regular,Cash
T000145,2025-06-17,Store-A,North,P010,Shampoo,Personal Care,7,180,248.44,24.84,1565.2,305.2,153,30,New,Card
T000146,2025-10-14,Store-C,North,P014,Tea,Beverages,6,140,166.43,8.32,948.66,108.66,261,30,New,Card
T000147,2025-06-10,Store-D,West,P002,Bread,Bakery,14,40,46.22,0.0,647.08,87.08,446,30,Wholesale,Card
T000148,2025-06-16,Store-B,West,P014,Tea,Beverages,10,140,165.84,0.0,1658.4,258.4,499,30,Wholesale,UPI
T000149,2025-10-29,Store-D,North,P003,Rice,Grocery,14,70,98.23,4.91,1306.48,326.48,228,30,New,UPI
T000150,2025-09-19,Store-A,South,P011,Toothpaste,Personal Care,8,95,118.74,5.94,902.4,142.4,44,30,New,UPI
T000151,2025-03-30,Store-B,North,P005,Eggs,Dairy,8,90,106.28,10.63,765.2,45.2,106,30,Regular,Card
T000152,2025-10-17,Store-C,East,P016,Cooking Oil,Grocery,15,180,247.74,37.16,3158.7,458.7,353,30,Regular,UPI
T000153,2025-05-21,Store-A,East,P003,Rice,Grocery,16,70,89.79,8.98,1292.96,172.96,412,30,Wholesale,Cash
T000154,2025-05-27,Store-A,North,P010,Shampoo,Personal Care,15,180,231.4,0.0,3471.0,771.0,193,30,Wholesale,Card
T000155,2025-10-20,Store-B,East,P017,Salt,Grocery,13,20,25.78,0.0,335.14,75.14,235,30,Wholesale,UPI
T000156,2025-06-25,Store-A,South,P017,Salt,Grocery,5,20,28.75,4.31,122.2,22.2,57,30,Regular,Cash
T000157,2025-07-10,Store-C,West,P015,Coffee,Beverages,15,220,287.59,14.38,4098.15,798.15,191,30,New,UPI
T000158,2025-06-18,Store-A,West,P020,Notebook,Stationery,2,60,83.21,8.32,149.78,29.78,38,30,New,UPI
T000159,2025-06-29,Store-C,West,P020,Notebook,Stationery,5,60,75.0,3.75,356.25,56.25,474,30,Regular,Card
T000160,2025-03-07,Store-A,West,P003,Rice,Grocery,10,70,92.24,9.22,830.2,130.2,421,30,Wholesale,UPI
T000161,2025-09-06,Store-B,South,P001,Milk,Dairy,12,60,74.56,3.73,849.96,129.96,179,30,Regular,Cash
T000162,2025-10-04,Store-A,East,P003,Rice,Grocery,10,70,98.23,0.0,982.3,282.3,264,30,Wholesale,Cash
T000163,2025-12-21,Store-B,West,P020,Notebook,Stationery,13,60,71.78,3.59,886.47,106.47,430,30,Regular,UPI
T000164,2025-08-18,Store-B,South,P012,Juice,Beverages,8,80,115.27,11.53,829.92,189.92,390,30,New,UPI
T000165,2025-05-25,Store-D,West,P007,Chips,Snacks,12,25,33.84,5.08,345.12,45.12,241,30,Regular,Cash
T000166,2025-09-04,Store-C,North,P020,Notebook,Stationery,5,60,84.71,0.0,423.55,123.55,333,30,Wholesale,Card
T000167,2025-08-19,Store-B,West,P004,Sugar,Grocery,10,45,52.88,2.64,502.4,52.4,144,30,Regular,Cash
T000168,2025-07-22,Store-C,South,P015,Coffee,Beverages,12,220,314.41,47.16,3207.0,567.0,32,30,New,Cash
T000169,2025-11-29,Store-C,South,P012,Juice,Beverages,8,80,92.68,0.0,741.44,101.44,434,30,Regular,Cash
T000170,2025-12-28,Store-D,West,P010,Shampoo,Personal Care,16,180,244.59,12.23,3717.76,837.76,393,30,Wholesale,Cash
T000171,2025-11-08,Store-D,North,P003,Rice,Grocery,1,70,85.87,4.29,81.58,11.58,285,30,New,Cash
T000172,2025-11-15,Store-D,North,P010,Shampoo,Personal Care,4,180,209.58,31.44,712.56,-7.44,332,30,Regular,UPI
T000173,2025-03-15,Store-C,West,P020,Notebook,Stationery,18,60,69.3,3.46,1185.12,105.12,372,30,Regular,Card
T000174,2025-12-09,Store-A,East,P012,Juice,Beverages,8,80,105.7,5.29,803.28,163.28,345,30,Regular,Card
T000175,2025-08-29,Store-A,West,P018,Detergent,Home Care,17,260,360.34,0.0,6125.78,1705.78,204,30,New,UPI
T000176,2025-12-03,Store-A,East,P001,Milk,Dairy,12,60,83.19,8.32,898.44,178.44,128,30,Regular,Cash
T000177,2025-12-17,Store-D,West,P012,Juice,Beverages,18,80,100.13,5.01,1712.16,272.16,430,30,Wholesale,Cash
T000178,2025-05-31,Store-B,North,P005,Eggs,Dairy,3,90,122.83,18.42,313.23,43.23,23,30,Regular,Cash
T000179,2025-01-19,Store-B,East,P011,Toothpaste,Personal Care,10,95,123.94,18.59,1053.5,103.5,134,30,New,Cash
T000180,2025-07-24,Store-D,West,P011,Toothpaste,Personal Care,9,95,112.8,11.28,913.68,58.68,228,30,New,Cash
T000181,2025-02-12,Store-D,North,P016,Cooking Oil,Grocery,16,180,226.84,22.68,3266.56,386.56,415,30,New,Card
T000182,2025-06-17,Store-C,East,P006,Butter,Dairy,18,55,68.1,0.0,1225.8,235.8,45,30,New,Card
T000183,2025-01-22,Store-C,West,P014,Tea,Beverages,6,140,189.97,19.0,1025.82,185.82,233,30,New,Card
T000184,2025-09-20,Store-B,North,P002,Bread,Bakery,3,40,54.05,8.11,137.82,17.82,191,30,Regular,Card
T000185,2025-11-27,Store-C,East,P015,Coffee,Beverages,2,220,261.33,13.07,496.52,56.52,403,30,New,Card
T000186,2025-07-09,Store-C,West,P002,Bread,Bakery,20,40,47.84,7.18,813.2,13.2,490,30,Regular,Card
T000187,2025-05-23,Store-B,North,P005,Eggs,Dairy,17,90,113.41,11.34,1735.19,205.19,337,30,Regular,Card
T000188,2025-05-14,Store-D,South,P006,Butter,Dairy,16,55,71.79,0.0,1148.64,268.64,139,30,Wholesale,UPI
T000189,2025-03-30,Store-D,North,P016,Cooking Oil,Grocery,7,180,213.62,0.0,1495.34,235.34,236,30,Wholesale,UPI
T000190,2025-06-03,Store-B,South,P012,Juice,Beverages,3,80,105.2,10.52,284.04,44.04,461,30,New,Card
T000191,2025-09-10,Store-A,East,P008,Biscuits,Snacks,4,35,50.59,2.53,192.24,52.24,126,30,Wholesale,Card
T000192,2025-02-14,Store-A,East,P012,Juice,Beverages,15,80,111.29,5.56,1585.95,385.95,318,30,New,Card
T000193,2025-10-22,Store-A,South,P016,Cooking Oil,Grocery,17,180,229.18,34.38,3311.6,251.6,426,30,New,Card
T000194,2025-10-10,Store-B,South,P003,Rice,Grocery,15,70,90.28,9.03,1218.75,168.75,70,30,New,Card
T000195,2025-03-24,Store-C,South,P002,Bread,Bakery,4,40,52.22,5.22,188.0,28.0,89,30,New,Card
T000196,2025-11-17,Store-C,North,P010,Shampoo,Personal Care,3,180,220.53,22.05,595.44,55.44,69,30,Wholesale,Card
T000197,2025-12-04,Store-C,North,P006,Butter,Dairy,19,55,78.79,3.94,1422.15,377.15,92,30,Regular,Cash
T000198,2025-10-20,Store-D,North,P002,Bread,Bakery,19,40,49.18,2.46,887.68,127.68,397,30,New,Card
T000199,2025-05-06,Store-D,East,P018,Detergent,Home Care,10,260,349.07,34.91,3141.6,541.6,252,30,New,Cash
T000200,2025-04-15,Store-C,South,P002,Bread,Bakery,6,40,51.28,7.69,261.54,21.54,242,30,New,Card
T000201,2025-07-09,Store-A,East,P011,Toothpaste,Personal Care,12,95,137.05,6.85,1562.4,422.4,394,30,Regular,UPI
T000202,2025-01-26,Store-C,West,P004,Sugar,Grocery,9,45,57.82,2.89,494.37,89.37,54,30,Wholesale,UPI
T000203,2025-03-23,Store-D,West,P008,Biscuits,Snacks,6,35,48.79,4.88,263.46,53.46,102,30,New,UPI
T000204,2025-08-23,Store-B,South,P016,Cooking Oil,Grocery,1,180,211.86,31.78,180.08,0.08,263,30,Wholesale,UPI
T000205,2025-10-02,Store-A,North,P002,Bread,Bakery,2,40,49.38,7.41,83.94,3.94,151,30,New,Cash
T000206,2025-07-25,Store-A,South,P009,Soap,Personal Care,12,30,41.37,4.14,446.76,86.76,28,30,New,Card
T000207,2025-10-09,Store-C,North,P010,Shampoo,Personal Care,3,180,227.86,34.18,581.04,41.04,396,30,Regular,Cash
T000208,2025-07-07,Store-B,South,P013,Soft Drink,Beverages,12,50,69.42,6.94,749.76,149.76,290,30,Wholesale,Card
T000209,2025-06-20,Store-D,West,P013,Soft Drink,Beverages,17,50,58.1,0.0,987.7,137.7,75,30,Regular,Card
T000210,2025-07-21,Store-C,East,P017,Salt,Grocery,5,20,24.97,2.5,112.35,12.35,88,30,Wholesale,Card
T000211,2025-01-09,Store-C,East,P018,Detergent,Home Care,16,260,354.28,35.43,5101.6,941.6,248,30,Wholesale,Cash
T000212,2025-08-31,Store-C,South,P014,Tea,Beverages,19,140,173.92,0.0,3304.48,644.48,310,30,Wholesale,Cash
T000213,2025-12-15,Store-B,North,P019,Tissue,Home Care,16,75,90.09,13.51,1225.28,25.28,80,30,Wholesale,Card
T000214,2025-03-19,Store-D,South,P004,Sugar,Grocery,7,45,52.01,5.2,327.67,12.67,219,30,New,Card
T000215,2025-03-12,Store-B,East,P020,Notebook,Stationery,16,60,84.71,0.0,1355.36,395.36,366,30,Wholesale,UPI
T000216,2025-09-30,Store-C,East,P017,Salt,Grocery,13,20,24.88,1.24,307.32,47.32,240,30,Wholesale,Card
T000217,2025-10-13,Store-C,South,P009,Soap,Personal Care,20,30,38.86,1.94,738.4,138.4,147,30,New,UPI
T000218,2025-05-21,Store-C,North,P007,Chips,Snacks,16,25,31.13,3.11,448.32,48.32,291,30,Wholesale,Card
